INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 001', '내용 001', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 002', '내용 002', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 003', '내용 003', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 004', '내용 004', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 005', '내용 005', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 006', '내용 006', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 007', '내용 007', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 008', '내용 008', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 009', '내용 009', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 010', '내용 010', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 011', '내용 011', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 012', '내용 012', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 013', '내용 013', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 014', '내용 014', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 015', '내용 015', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 016', '내용 016', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 017', '내용 017', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 018', '내용 018', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 019', '내용 019', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 020', '내용 020', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 021', '내용 021', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 022', '내용 022', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 023', '내용 023', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 024', '내용 024', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 025', '내용 025', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 026', '내용 026', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 027', '내용 027', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 028', '내용 028', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 029', '내용 029', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 030', '내용 030', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 031', '내용 031', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 032', '내용 032', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 033', '내용 033', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 034', '내용 034', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 035', '내용 035', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 036', '내용 036', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 037', '내용 037', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 038', '내용 038', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 039', '내용 039', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 040', '내용 040', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 041', '내용 041', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 042', '내용 042', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 043', '내용 043', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 044', '내용 044', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 045', '내용 045', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 046', '내용 046', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 047', '내용 047', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 048', '내용 048', '전성익', 0, NOW(), NOW(), 'Y');
